title,track,mode,region,level,deadline,description,format,eligibility,howToApply,tags,applyUrl,officialUrl
"CamMUN 2026 (Cambridge Model United Nations)","MUN","In-Person","Europe","University","See official registration page","CamMUN is a flagship UK university conference and is known for strong committee design and a competitive delegate pool. It’s prestigious because many experienced delegates attend, and the Cambridge brand adds weight to the event’s academic feel. If you want a serious conference that emphasizes research-backed policy and disciplined debate, CamMUN is a great option.","Opening session -> Committee sessions -> Working papers -> Draft resolutions -> Voting and awards","Typically university delegates; check official eligibility rules for age bands","1. Open the official CamMUN site. 2. Review registration and deadlines. 3. Register as a delegation or delegate as allowed. 4. Pay fees. 5. Confirm committee assignments and complete required submissions.","mun|university|uk|cambridge|competitive","https://cammun.org/","https://cammun.org/"
"NoviceNations 2026 (Oxford Global)","MUN","In-Person","Europe","High School","See official registration page","NoviceNations is designed specifically to train new delegates, which makes it a strong choice if you want a supportive but still structured conference. It’s interesting because the event format tends to focus on teaching procedure, speech structure, and negotiation mechanics rather than just throwing delegates into chaos. If you’re building a new MUN program or training younger delegates, this is a very practical pick.","Training-forward opening -> Guided committee sessions -> Drafting practice -> Voting and closing","Beginner-friendly; high school delegates; check official eligibility rules","1. Open the Oxford Global event page. 2. Review dates and registration requirements. 3. Register your school or delegation. 4. Submit roster and details. 5. Pay fees and complete any required steps.","mun|high-school|uk|beginner|training","https://www.oxfordglobal.org/events-calendar/2026/2/6/novicenations-2026","https://www.oxfordglobal.org/events-calendar/2026/2/6/novicenations-2026"
"GIMUN 2026","MUN","In-Person","Europe","High School","See official registration page","GIMUN is a known European conference option that attracts international delegates and typically emphasizes structured committee work. Delegates like it because it blends an international atmosphere with committees that still push for real outcomes. If you want a Europe-based conference that feels global and competitive, GIMUN is a strong target.","Opening session -> Committee sessions -> Working papers -> Draft resolutions -> Voting and awards","High school delegates; eligibility rules listed on the event page","1. Open the official listing page. 2. Review registration steps. 3. Register as a delegate/delegation as permitted. 4. Pay fees if required. 5. Confirm assignment and submit any required documents.","mun|high-school|europe|international|committee","https://mymun.com/conferences/gimun-2026","https://mymun.com/conferences/gimun-2026"
"GERMUN (German Model United Nations) 2026 Cycle","MUN","In-Person","Europe","High School","See official registration page","GERMUN is one of Germany’s best-known MUN conferences and is respected for its organized structure and strong committee experience. It’s popular because it attracts international participation while maintaining clear procedure and serious drafting work. If you want a reputable European conference that strengthens real diplomacy skills, GERMUN is a solid option.","Opening session -> Committee sessions -> Working papers -> Draft resolutions -> Voting and awards","High school delegates; international schools often participate; see eligibility rules","1. Open the official about/registration information. 2. Follow delegation registration steps. 3. Submit roster and preferences. 4. Pay fees if applicable. 5. Confirm assignments and submit position papers if required.","mun|high-school|germany|europe|international","https://germun.de/about-germun/","https://germun.de/about-germun/"
"MainMUN 2026 (Frankfurt am Main)","MUN","In-Person","Europe","High School","See official registration page","MainMUN is a notable Frankfurt conference that’s known for bringing together delegates from different countries across Europe. It’s interesting because committees typically emphasize practical negotiation and drafting, which rewards delegates who can coordinate blocs well. If you want a strong Germany-based conference with international energy, MainMUN is a great pick.","Opening session -> Committee sessions -> Working papers -> Draft resolutions -> Voting and awards","High school delegates; international delegations welcome; check eligibility rules on site","1. Open the official MainMUN site. 2. Locate current cycle registration. 3. Register delegation and submit roster. 4. Pay fees by deadlines. 5. Confirm assignments and submit any required documents.","mun|high-school|germany|frankfurt|international","https://mainmun.de/","https://mainmun.de/"
"Change the World Model United Nations (CWMUN) NYC 2026","MUN","In-Person","USA/Canada","High School","See official registration page","CWMUN NYC is a major international conference experience marketed toward global participation, and it is well known for its large, diverse delegate pool. It stands out because it blends the big-conference feel with structured programming and strong event production. If you want an internationally branded conference that is accessible to many schools worldwide, CWMUN NYC is a strong option.","Opening session -> Committee sessions -> Drafting and negotiation -> Voting and closing","High school students; also offers broader student categories depending on program track","1. Open the official NYC program page. 2. Review eligibility and fees. 3. Complete registration form. 4. Pay fees and request aid if offered. 5. Confirm assignment and complete prep materials.","mun|high-school|new-york|international|large","https://changetheworldacademy.org/program/nyc","https://changetheworldacademy.org/program/nyc"
"MUN Madrid 2026","MUN","In-Person","Europe","High School","See official registration page","MUN Madrid is a well known Spain-based conference option that is attractive for international schools in Europe. It’s interesting because it offers a strong delegate experience in a major capital city and typically draws a mix of domestic and international participants. If you want a European conference that is accessible and credible, MUN Madrid is a solid pick.","Opening session -> Committee sessions -> Working papers -> Draft resolutions -> Voting and awards","High school delegates; check eligibility rules on the official site","1. Open the official MUN Madrid page. 2. Review dates and registration steps. 3. Register delegation or delegates as permitted. 4. Pay fees if required. 5. Confirm assignments and submit any required documents.","mun|high-school|spain|europe|international","https://www.munespana.es/en/mun-madrid-spain/","https://www.munespana.es/en/mun-madrid-spain/"
"PIMUN 2026","MUN","In-Person","Europe","High School","See official registration page","PIMUN is a notable European conference option listed on MyMUN, typically attracting international school participation. It’s valued because the MyMUN structure makes registration straightforward and committees often stay focused on producing outcomes. If you want an accessible, internationally oriented conference to add to your season, PIMUN is a strong choice.","Opening session -> Committee sessions -> Working papers -> Draft resolutions -> Voting and awards","High school delegates; eligibility and delegation rules listed on the event page","1. Open the conference listing page. 2. Create/login to MyMUN if required. 3. Register as a delegation or delegate. 4. Pay any listed fees. 5. Confirm assignments and follow posted submission requirements.","mun|high-school|europe|mymun|international","https://mymun.com/conferences/pimun-2026","https://mymun.com/conferences/pimun-2026"
"BEIMUN 2026","MUN","In-Person","Asia","High School","See official registration page","BEIMUN is one of the better known China-based conferences and is notable for drawing international school participation in the region. It’s competitive because committees tend to be full of experienced delegates and awards require real drafting leadership, not just speeches. If you want a major Asia conference outside Singapore and Hong Kong, BEIMUN is a strong pick.","Opening session -> Committee sessions -> Working papers -> Draft resolutions -> Voting and awards","High school delegates; eligibility rules and forms on the official site","1. Open the BEIMUN registration form page. 2. Follow delegation registration steps. 3. Submit school and delegate details. 4. Pay fees if required. 5. Confirm committee assignments and submit required documents.","mun|high-school|asia|beijing|international","https://www.beijingmun.org/beimun-xxxiii-form-i","https://www.beijingmun.org/beimun-xxxiii-form-i"
"Harvard Model United Nations Australia (HMUN Australia) 2026","MUN","In-Person","Asia-Pacific","High School","See official registration page","HMUN Australia is a strong regional flagship for delegates who want an internationally branded conference experience in the Asia-Pacific. It’s interesting because it typically attracts a diverse delegate pool and aims for high-quality committee programming that mirrors large global conferences. If you want a serious conference without traveling to the US or Europe, HMUN Australia is a great option.","Opening session -> Committee sessions -> Working papers -> Draft resolutions -> Voting and awards","High school delegates; international participation depends on conference policy","1. Open the HMUN Australia site. 2. Review dates, fees, and eligibility. 3. Register as a school delegation. 4. Submit roster and preferences. 5. Pay fees and complete required submissions.","mun|high-school|australia|asia-pacific|international","https://www.hmunaustralia.org/","https://www.hmunaustralia.org/"
"Model United Nations Assembly (Rotary Club of Canberra Sunrise)","MUN","In-Person","Asia-Pacific","High School","See official registration page","The Model United Nations Assembly is a well-established Canberra-based program that emphasizes structured debate and diplomatic skill building. It’s interesting because it often blends educational training with a conference-style simulation, making it strong for developing fundamentals. If you want a credible Australia-based MUN experience with a civic-education angle, it’s a strong option.","Training/briefing -> Committee simulations -> Drafting and negotiation -> Voting and closing","High school delegates; eligibility and registration rules listed on the host page","1. Open the official MUNA page. 2. Check dates and registration requirements. 3. Register your school/team. 4. Submit participant details. 5. Pay any listed fees and attend required briefings.","mun|high-school|australia|civic|training","https://rotaryclubofcanberrasunrise.org.au/sitepage/muna","https://rotaryclubofcanberrasunrise.org.au/sitepage/muna"
"SIMUN (Singapore International Model United Nations)","MUN","In-Person","Asia","High School","See official registration page","SIMUN is a Singapore-based conference option that’s valuable for students seeking a well organized event with international school participation. It’s especially useful for building confidence because committees tend to be structured and chaired in a teaching-forward way while still keeping awards competitive. If you want a strong local-to-Asia conference that can fit into a busy calendar, SIMUN is a good pick.","Opening session -> Committee sessions -> Working papers -> Draft resolutions -> Voting and awards","High school delegates; typically through school delegations; see eligibility rules on site","1. Open the SIMUN site. 2. Review registration details and deadlines. 3. Register your delegation. 4. Submit roster and committee preferences. 5. Pay fees if required and submit required documents.","mun|high-school|singapore|asia|in-person","https://sites.google.com/ifs.edu.sg/simun/home","https://sites.google.com/ifs.edu.sg/simun/home"
"NextGen MUN 2026","MUN","Hybrid","Asia","High School","See official registration page","NextGen MUN is positioned as a modern conference option that aims to be accessible, often with formats that help newer delegates participate confidently. It’s interesting because it tends to be marketed toward broad participation and can be easier to register for compared to older legacy conferences. If you want a practical option that’s designed for accessibility and scale, NextGen MUN is worth considering.","Opening session -> Committee sessions -> Drafting and negotiation -> Voting and awards","Student delegates; high school eligibility common; see listing for exact rules","1. Open the NextGen MUN listing page. 2. Review dates, fees, and eligibility. 3. Follow registration instructions. 4. Submit delegate details. 5. Complete payment and confirmation steps.","mun|high-school|hybrid|accessible|asia","https://www.dublieu.com/muns/nextgen-mun-2026","https://www.dublieu.com/muns/nextgen-mun-2026"
"Veda MUN","MUN","In-Person","Asia","High School","See official registration page","Veda MUN is a conference option listed for students seeking more regional participation opportunities, often with committees tailored to high school debate levels. It’s useful for building practical skills because smaller-to-mid scale conferences can give delegates more speaking and drafting time. If you’re trying to build a fuller season with more attainable conferences, Veda MUN is a solid add.","Opening session -> Committee sessions -> Working papers -> Draft resolutions -> Voting and awards","High school delegates; exact eligibility and delegation rules on listing","1. Open the Veda MUN page. 2. Review registration instructions. 3. Register your delegation or delegate entry. 4. Submit required details. 5. Pay fees if applicable and confirm participation.","mun|high-school|india|asia|regional","https://www.dublieu.com/muns/veda-mun","https://www.dublieu.com/muns/veda-mun"
"MUN Tracker for Upcoming MUNs in Delhi 2026 (Dublieu)","MUN","N/A","Asia","High School","See official listing","This tracker is useful because it aggregates multiple Delhi-area MUN opportunities into one place, saving a lot of search time. It’s interesting for building your conference calendar fast, especially if you’re targeting multiple events across the season. While it isn’t a single conference, it helps you find several legitimate MUNs with registration details and deadlines in one hub.","Directory -> Event links -> Registration pathways vary by conference","Varies by event; many are high school eligible; check each event listing","1. Open the MUN tracker page. 2. Select a specific conference listing. 3. Verify eligibility and dates. 4. Follow the registration link for that event. 5. Complete payment and confirmation per the event’s instructions.","mun|india|directory|delhi|calendar","https://www.dublieu.com/mun-tracker","https://www.dublieu.com/mun-tracker"
"FWWMUN New Delhi 2026","MUN","In-Person","Asia","High School","See official registration page","FWWMUN New Delhi is part of a global conference series that aims to make international-style MUN accessible in multiple major cities. It’s attractive because the brand emphasizes a global delegate mix and consistent event structure. If you want an international conference feel in South Asia without complex school-only entry barriers, this is a strong option.","Opening session -> Committee sessions -> Drafting and negotiation -> Voting and closing","High school delegates (typically ages 13-19); check official eligibility rules","1. Open the official New Delhi page. 2. Complete delegate registration. 3. Submit details and committee preferences if offered. 4. Pay fees by the deadline. 5. Confirm assignment and complete preparation steps.","mun|high-school|india|international|fwwmun","https://www.fwwmun-nyc.org/mun-newdelhi","https://www.fwwmun-nyc.org/mun-newdelhi"
"Yale Model United Nations Latin America (YMUN LATAM)","MUN","In-Person","Latin America","High School","See official registration page","YMUN LATAM extends the globally recognizable YMUN brand into Latin America, making it attractive for delegates who want that prestige without US travel. It’s competitive because committees generally expect strong preparation and reward disciplined bloc leadership and drafting quality. If you want a brand-name international conference in the region, YMUN LATAM is a strong target.","Opening session -> Committee sessions -> Working papers -> Draft resolutions -> Voting and awards","High school delegates; international participation depends on policy; see eligibility rules","1. Open the official YMUN LATAM site. 2. Review registration information and deadlines. 3. Register delegation or delegate entry as allowed. 4. Pay fees if required. 5. Confirm assignments and submit required documents.","mun|high-school|latin-america|yale-brand|international","https://www.ymunlatam.org/","https://www.ymunlatam.org/"
"HNMUN LA 2026 (MyMUN listing)","MUN","In-Person","USA/Canada","High School","See official registration page","HNMUN LA is a MyMUN-listed conference connected to the broader Harvard MUN ecosystem, making it a popular target for students seeking a recognizable brand on the West Coast. It’s interesting because it tends to draw strong delegations and competitive committees, while still being more geographically accessible for many Pacific-region schools. If you want a brand-adjacent conference with a simplified registration pathway, this is a strong option.","Opening session -> Committee sessions -> Working papers -> Draft resolutions -> Voting and awards","High school delegates; eligibility and delegation rules listed on the MyMUN page","1. Open the conference listing page. 2. Create/login to MyMUN if needed. 3. Register as a delegation or delegate. 4. Pay any listed fees. 5. Follow posted instructions for assignments and submissions.","mun|high-school|los-angeles|mymun|competitive","https://mymun.com/conferences/hnmun-la-2026","https://mymun.com/conferences/hnmun-la-2026"
"FWWMUN Mexico City 2026","MUN","In-Person","Latin America","High School","See official registration page","FWWMUN Mexico City is part of a global series built to attract international participation and deliver a consistent conference experience. Delegates choose it because it’s accessible, internationally branded, and often easier to register for than older school-locked conferences. If you want a Latin America-based conference with a strong international feel, this is a solid pick.","Opening session -> Committee sessions -> Drafting and negotiation -> Voting and closing","High school delegates (typically ages 13-19); check official rules","1. Open the Mexico City page. 2. Register as a delegate or delegation. 3. Submit details and committee choices if offered. 4. Pay fees. 5. Confirm assignment and complete preparation steps.","mun|high-school|mexico|international|fwwmun","https://www.fwwmun-nyc.org/mun-mexico-city","https://www.fwwmun-nyc.org/mun-mexico-city"
"FWWMUN Rio de Janeiro 2026","MUN","In-Person","Latin America","High School","See official registration page","FWWMUN Rio is a good option for delegates who want an international conference experience in Brazil with a globally marketed structure. It’s interesting because it typically aims for diverse participation and a polished event format that supports both newer and experienced delegates. If you want a South America-based conference that still feels global, Rio is a strong choice.","Opening session -> Committee sessions -> Drafting and negotiation -> Voting and closing","High school delegates (typically ages 13-19); check official eligibility","1. Open the Rio page. 2. Complete registration. 3. Submit delegate details and preferences. 4. Pay fees by deadlines. 5. Confirm assignment and follow preparation guidance.","mun|high-school|brazil|international|fwwmun","https://www.fwwmun-nyc.org/mun-riodejaneiro","https://www.fwwmun-nyc.org/mun-riodejaneiro"
"FWWMUN Nairobi 2026","MUN","In-Person","Africa","High School","See official registration page","FWWMUN Nairobi is a notable option for delegates seeking an international-style conference presence in East Africa. It’s interesting because it expands access to globally branded MUN beyond the usual US-Europe circuit and typically markets toward international participation. If you want a conference that helps you diversify your MUN portfolio geographically, Nairobi is a strong pick.","Opening session -> Committee sessions -> Drafting and negotiation -> Voting and closing","High school delegates (typically ages 13-19); check eligibility rules on site","1. Open the Nairobi page. 2. Register as a delegate or delegation. 3. Submit details and committee preferences if offered. 4. Pay fees. 5. Confirm assignment and complete any required prep.","mun|high-school|africa|nairobi|international","https://www.fwwmun-nyc.org/mun-nairobi","https://www.fwwmun-nyc.org/mun-nairobi"
"FWWMUN Johannesburg 2026","MUN","In-Person","Africa","High School","See official registration page","FWWMUN Johannesburg offers a globally marketed conference format in Southern Africa and can be a strong option for international school participation. It’s attractive because the structure is designed for accessibility while still delivering a full committee simulation experience. If you want a conference that stands out for location and global mix, Johannesburg is a good target.","Opening session -> Committee sessions -> Drafting and negotiation -> Voting and closing","High school delegates (typically ages 13-19); see eligibility rules on site","1. Open the Johannesburg page. 2. Register as a delegate or delegation. 3. Submit details and preferences. 4. Pay fees by deadlines. 5. Confirm assignment and follow preparation guidance.","mun|high-school|africa|south-africa|international","https://www.fwwmun-nyc.org/mun-johannesburg","https://www.fwwmun-nyc.org/mun-johannesburg"
"FWWMUN Marrakech 2026","MUN","In-Person","Africa","High School","See official registration page","FWWMUN Marrakech is a strong option for delegates who want an international-style conference in Morocco with a globally marketed brand. It’s interesting because it broadens the circuit beyond the usual conference hubs while keeping a structured, polished format. If you want a distinctive location that still feels internationally accessible, Marrakech is a great pick.","Opening session -> Committee sessions -> Drafting and negotiation -> Voting and closing","High school delegates (typically ages 13-19); check official eligibility rules","1. Open the Marrakech page. 2. Complete registration steps. 3. Submit delegate details and preferences. 4. Pay fees. 5. Confirm assignment and complete prep materials if provided.","mun|high-school|morocco|africa|international","https://www.fwwmun-nyc.org/mun-marrakech","https://www.fwwmun-nyc.org/mun-marrakech"
"Babcock International Model United Nations (BIMUN Nigeria)","MUN","In-Person","Africa","High School","See official registration page","BIMUN Nigeria is a notable West Africa-based conference option that can add real geographic diversity to a delegate’s season. It’s interesting because conferences like this often attract highly engaged regional delegates and offer strong committee energy and negotiation. If you want to expand beyond the typical US-Europe-Asia loop, BIMUN is a strong pick.","Opening session -> Committee sessions -> Working papers -> Draft resolutions -> Voting and awards","Student delegates; high school eligibility common; see official rules for grades","1. Open the official BIMUN site. 2. Review conference details and dates. 3. Register your school or delegation. 4. Submit roster and preferences. 5. Pay fees and complete required submissions.","mun|high-school|nigeria|africa|international","https://bimun.org.ng/","https://bimun.org.ng/"
"International Model African Union Conference","MUN","In-Person","Africa","High School","See official registration page","Model African Union conferences offer a specialized simulation style focused on African Union structures and regional policy challenges. It’s prestigious in a different way because it develops deeper understanding of African multilateral diplomacy, often overlooked in standard UN-only MUN programs. If you want to broaden your committee experience beyond UN organs, this is a strong option.","Opening session -> Committee sessions (AU format) -> Draft outcomes -> Adoption and closing","Student delegates; high school eligibility common; see official rules","1. Open the official conference site. 2. Review dates, fees, and eligibility. 3. Register as a delegation or participant. 4. Submit required details. 5. Confirm assignment and complete preparation steps.","mun|high-school|african-union|simulation|diplomacy","https://modelafricanunion.org/","https://modelafricanunion.org/"
"Kenya Model United Nations (Vabu listing)","MUN","In-Person","Africa","High School","See official registration page","Kenya Model United Nations is a strong regional conference option that can be especially valuable for delegates seeking a different circuit and policy focus. It’s interesting because it often reflects regional priorities and can produce very engaged committee debate and coalition building. If you want to diversify your MUN portfolio while still doing a full committee simulation, Kenya MUN is a solid pick.","Opening session -> Committee sessions -> Drafting and negotiation -> Voting and closing","Student delegates; high school eligibility likely; verify eligibility on the listing and registration links","1. Open the listing page. 2. Follow links to official registration if provided. 3. Review eligibility and dates. 4. Register and submit required details. 5. Pay fees and confirm participation.","mun|high-school|kenya|africa|regional","https://vabu.app/u/kenya-model-united-nations","https://vabu.app/u/kenya-model-united-nations"
