title,track,mode,region,level,deadline,description,format,eligibility,howToApply,tags,applyUrl,officialUrl
"MIT Research Science Institute (RSI) Application","Econ","Online","Global","International","January 14, 2026","RSI is arguably the most prestigious and competitive summer research program for high schoolers in the world, hosted at MIT. it is interesting because it is free to attend, selecting only 80 students globally to conduct high-level research under the mentorship of MIT faculty. Being an 'RSI Scholar' is a definitive mark of elite intellectual potential that virtually guarantees admission to top universities.","Online application including 5 essays, research interest plan, and test scores.","High school juniors globally; High academic standing.","1. Complete the extensive RSI application on the CEE website. 2. Provide detailed research interests and academic history. 3. Submit by the mid-January deadline.","science|MIT|RSI|research|elite","https://www.cee.org/programs/rsi","https://www.cee.org/programs/rsi"
"Simons Summer Research Program Application","Econ","Online","USA","National","January 20, 2026","The Simons Program at Stony Brook University is a highly prestigious research competition where students are selected to work in university laboratories. it is interesting for its rigorous selection process, requiring a nomination from the student's high school. Acceptance into Simons is a major credential for students aiming for the Regeneron STS or ISEF.","Nomination-based application including essays and research preferences.","High school juniors in the US; US Citizens or Residents.","1. Secure a formal nomination from your high school. 2. Complete the Simons online application by Jan 20. 3. Await the results in late March.","science|research|Simons|StonyBrook|national","https://www.stonybrook.edu/simons/","https://www.stonybrook.edu/simons/"
"Research in Science & Engineering (RISE) BU Application","Econ","Online","USA","National","February 13, 2026","Boston University's RISE program is a prestigious six-week research intensive for high school seniors. it is interesting for its 'Internship' track, where students are placed in faculty labs to conduct original research, and its 'Practicum' track for structured inquiry. RISE alumni frequently go on to become top scholars in national science competitions like the Regeneron STS.","Comprehensive application including essays, GPA, and letters of recommendation.","High school juniors entering senior year; US Citizens or Residents.","1. Choose between the Internship or Practicum tracks. 2. Submit your application via the BU summer portal by Feb 13. 3. Provide transcripts and a science teacher recommendation.","science|research|RISE|BostonUniversity|internship","https://www.bu.edu/summer/rise/","https://www.bu.edu/summer/rise/"
"Clark Scholars Program Application","Econ","Online","Global","International","February 15, 2026","The Clark Scholars Program at Texas Tech is an elite, all-expenses-paid summer research program that accepts only 12 students per year. it is prestigious for its low acceptance rate and the high degree of one-on-one mentorship students receive from world-class faculty. Scholars participate in research across a wide range of STEM fields and receive a generous $750 stipend upon completion.","Application including essays, project interests, and academic records.","High school juniors and seniors globally (17+ years old).","1. Apply via the Texas Tech Clark Scholars portal. 2. Write essays detailing your research passion and background. 3. Submit all materials by the Feb 15 deadline.","science|research|Clark|TexasTech|elite","https://www.depts.ttu.edu/clarkscholars/","https://www.depts.ttu.edu/clarkscholars/"
"MathCounts New York State Competition","Econ","In-Person","USA","State","March 21, 2026","The New York State MathCounts finals are a prestigious event held in Albany, gathering the state's best middle school math minds. it is interesting for the high concentration of talent from NYC and Long Island, making it one of the most difficult state tournaments in the country. The winners represent 'Team New York' at the national finals in Florida.","Sprint Round -> Target Round -> Team Round -> Countdown Round.","Top middle schoolers from New York regional chapters.","1. Qualify through an NY local chapter competition in February. 2. Register for the state event in Albany. 3. Compete in person on March 21.","math|middle-school|MathCounts|NewYork|state-finals","https://www.nysspe.org/","https://www.nysspe.org/"
"MathCounts California State Competition (North)","Econ","In-Person","USA","State","March 28, 2026","The Northern California state finals are a high-prestige event held in the heart of Silicon Valley, often at Stanford or a similar venue. it is interesting for its high level of competitive intensity, as students from the nation's top tech-heavy school districts vie for a spot on the California team. The Countdown Round here features some of the fastest mental math in the world.","Sprint Round -> Target Round -> Team Round -> Countdown Round.","Top middle schoolers from Northern California regional chapters.","1. Win at a NorCal regional chapter competition in February. 2. Advance to the state finals in San Jose or Stanford. 3. Compete for the state title on March 28.","math|middle-school|MathCounts|California|SiliconValley","https://www.mathcounts.org/","https://www.mathcounts.org/"
"MathCounts Massachusetts State Competition","Econ","In-Person","USA","State","March 7, 2026","The Massachusetts State MathCounts competition is held at Wentworth Institute of Technology, bringing together the state's top STEM talent. it is prestigious for its association with the Boston/Cambridge academic hub and consistently produces national-level finalists. The event is a key milestone for middle schoolers aiming for top-tier prep school math programs.","Sprint Round -> Target Round -> Team Round -> Countdown Round.","Top middle school qualifiers from Massachusetts regional chapters.","1. Qualify through a local Massachusetts chapter event in February. 2. Register for the state event in Boston. 3. Compete in person on March 7.","math|middle-school|MathCounts|Massachusetts|Boston","https://www.mspe.com/","https://www.mspe.com/"
"MathCounts New Jersey State Competition","Econ","In-Person","USA","State","March 14, 2026","The New Jersey State MathCounts finals are a prestigious event held at Rutgers University, attracting the state's elite young problem solvers. it is interesting for its rigorous competition level, as New Jersey is a perennial top-ten state in national math rankings. The event serves as the definitive ranking for the state's middle school math community.","Sprint Round -> Target Round -> Team Round -> Countdown Round.","Top middle schoolers from New Jersey regional chapters.","1. Qualify through a New Jersey local chapter competition. 2. Advance to the state finals at Rutgers. 3. Compete for a spot on the NJ national team.","math|middle-school|MathCounts|NewJersey|Rutgers","https://www.njspe.org/","https://www.njspe.org/"
"MathCounts Virginia State Competition","Econ","In-Person","USA","State","March 28, 2026","The Virginia State MathCounts competition is a high-prestige tournament that gathers the best students from the D.C. suburbs and southern districts. it is prestigious for its consistent production of national individual champions and its high difficulty level. The competition provides a powerful platform for students to demonstrate their mathematical stamina and speed.","Sprint Round -> Target Round -> Team Round -> Countdown Round.","Top middle schoolers from Virginia regional chapters.","1. Place as a top scorer in a Virginia local chapter competition. 2. Register for the state finals in late March. 3. Compete in person for the state title.","math|middle-school|MathCounts|Virginia|national-power","https://www.virginiamathcounts.org/","https://www.virginiamathcounts.org/"
"Purple Comet! Math Meet Results Release","Econ","Online","Global","International","May 2026","The release of the Purple Comet! results is a major event for the tens of thousands of students who participate in the free global team competition. it is prestigious because top-scoring teams in each state and country are recognized with official certificates of achievement. The rankings allow teams to see how their collaborative problem solving compares to elite teams from over 60 countries.","Digital release of scores and certificates on the competition portal.","All teams who participated in the April competition window.","1. Complete the Purple Comet! competition in April. 2. Await the mid-May results announcement. 3. Log in to download team and individual certificates.","math|team|global|results|PurpleComet","https://purplecomet.org/","https://purplecomet.org/"
"Math Kangaroo US National Awards Announcement","Econ","Online","USA","National","May 2026","The Math Kangaroo National Awards announcement is the culmination of the world's most widespread math contest in the U.S. it is prestigious for its recognition of 'perfect scores' and top-ranking students in each state, who often receive medals and gift cards. This announcement is a major highlight for K-12 students who excel in logical reasoning and non-routine math.","Digital release of national and state-level rankings.","Students who participated in the March Math Kangaroo exam.","1. Sit for the Math Kangaroo exam in March. 2. Wait for the scoring and verification phase in April. 3. Check the official website in May for award status.","math|logic|national-ranking|MathKangaroo|awards","https://mathkangaroo.org/","https://mathkangaroo.org/"
"AAPT F=ma Result Announcement","Econ","Online","USA","National","March 2026","The announcement of the F=ma results identifies the elite group of 400 students who move on to the USA Physics Olympiad. it is prestigious as it marks the first major successful step in the U.S. Physics Team selection process. Students who pass this cut-off are recognized as the top young mechanical physicists in the country.","Score release and USAPhO invitation list publication.","Students who took the F=ma exam in February.","1. Complete the proctored F=ma exam in February. 2. Await the score release from AAPT in late March. 3. If selected, prepare for the USAPhO exam in April.","physics|olympiad|AAPT|mechanics|results","https://aapt.org/","https://aapt.org/"
"USNCO Local Result & National Selection","Econ","In-Person","USA","Regional","March 2026","This is the critical window where local ACS sections announce the winners of the local exam and nominate students for the National Chemistry Olympiad. it is prestigious because only a handful of students from each region are selected to proceed to the national laboratory and theoretical rounds. Being a 'National Nominee' is a significant academic achievement in the chemical sciences.","Regional score release and official nomination notification.","Students who took the USNCO Local Exam in late Feb/early March.","1. Take the USNCO local exam through your ACS section. 2. Await the scoring results from your local coordinator. 3. Finalize national exam registration if you are a top-ranked student.","chemistry|ACS|olympiad|regional-winners|science","https://www.acs.org/","https://www.acs.org/"
"AIME (National Score Release)","Econ","Online","USA","National","March 2026","The release of the AIME scores is the most anticipated date for the nation's elite high school math students. it is prestigious because these scores, combined with AMC results, determine who is invited to the USA Mathematical Olympiad (USAMO). The results establish the definitive 'Top 500' math ranking for high schoolers across the United States.","Digital score release via the MAA portal.","Students who participated in AIME I or AIME II in February.","1. Take the AIME invitational exam in February. 2. Check the MAA portal in early March for your proctored score. 3. Calculate your index to see if you qualify for USAMO or USAJMO.","math|MAA|AIME|results|national-ranking","https://maa.org/","https://maa.org/student-programs/amc/"
"Math Counts National (Countdown Round)","Econ","In-Person","USA","National","May 11, 2026","The National Countdown Round is the high-stakes, televised finale of the middle school math competition season in Orlando. it is prestigious for its head-to-head buzzer format, where the top 12 students in the country solve incredibly difficult problems in seconds. The winner is crowned the National MathCounts Champion, a title that carries immense weight in the STEM community.","Live buzzer competition featuring the top 12 individual qualifiers.","Top 12 individual scorers at the National MathCounts finals.","1. Achieve a top-12 score on the national written exam. 2. Participate in the live buzzer matches on stage. 3. Compete for the national title in the televised finale.","math|middle-school|MathCounts|televised|buzzer","https://www.mathcounts.org/","https://www.mathcounts.org/"
"Science Olympiad Regional (San Diego)","Econ","In-Person","USA","Regional","February 7, 2026","The San Diego Science Olympiad regional is one of the largest and most technical tournaments in the California circuit. it is prestigious for its association with local biotech and naval engineering firms, with many events held at local colleges. Teams must place in the top tier to survive the cut for the ultra-competitive SoCal State tournament.","One-day circuit of 23 science, lab, and engineering events.","Middle and High School teams in San Diego County.","1. Register your school's team through the San Diego SciOly portal. 2. Assign students to the 23 events and prepare through the winter. 3. Compete in person on February 7.","science|SciOly|SanDiego|team|biotech","https://www.sandiegoscioly.org/","https://www.sandiegoscioly.org/"
"Science Olympiad Regional (Orange County)","Econ","In-Person","USA","Regional","February 14, 2026","The Orange County Science Olympiad regional is a major hub for STEM talent, featuring some of the highest-performing schools in the U.S. it is prestigious for its rigorous 'build' event judging and its role as a primary filter for the state finals. The tournament creates an intense, professional environment for the region's best young engineers and scientists.","23 competitive events spanning 'Anatomy' to 'Wheeled Vehicle'.","Middle and High School teams in Orange County, CA.","1. Sign up through the Orange County SciOly chapter. 2. Manage a roster of 15 students for the competition day. 3. Compete on Valentine's Day for state-qualification spots.","science|SciOly|OrangeCounty|team|engineering","https://www.ocscioly.org/","https://www.ocscioly.org/"
"Science Olympiad Regional (North Carolina Central)","Econ","In-Person","USA","Regional","February 21, 2026","The Central Regional in North Carolina is a prestigious event held in the heart of the Research Triangle Park area. it is interesting for its high level of university involvement, often drawing judges from Duke and UNC. Winning here is a significant credential in a region known for its world-class scientific community.","A 23-event tournament circuit (Study, Build, and Lab categories).","Teams of up to 15 students from Central NC schools.","1. Register your team via the North Carolina Science Olympiad portal. 2. Prepare for the competitive events in early 2026. 3. Compete in person on February 21.","science|SciOly|NorthCarolina|RTP|team","https://ncscioly.org/","https://ncscioly.org/"
"Science Olympiad Regional (Illinois - Joliet)","Econ","In-Person","USA","Regional","February 28, 2026","The Joliet regional is a key qualifying event in the competitive Illinois Science Olympiad circuit. it is prestigious for its focus on structural engineering and physics events, drawing talent from the surrounding Chicago suburbs. Teams compete for a limited number of spots at the state tournament at UIUC.","Full day of 23 competitive events for Division B and C.","Teams of 15 students from Illinois schools.","1. Complete team registration and payment by early January. 2. Finalize student event assignments. 3. Compete on February 28 for state qualification.","science|SciOly|Illinois|Chicago|team","https://www.illinoisolympiad.org/","https://www.illinoisolympiad.org/"
"Science Olympiad Regional (Florida - Tampa)","Econ","In-Person","USA","Regional","February 2026","The Tampa regional is a prestigious event in the Florida Science Olympiad pipeline, held at a major area high school or college. it is interesting for its high-energy atmosphere and focus on life sciences and environmental events. Successful teams move on to the Florida State finals at the University of Florida.","Circuit of 23 STEM events based on the national ruleset.","Teams from Florida's West Coast regional district.","1. Register your team via the Florida Science Olympiad website. 2. Prepare build and study materials through the fall and winter. 3. Compete in Tampa during the February tournament window.","science|SciOly|Florida|Tampa|team","https://www.floridascioly.org/","https://www.floridascioly.org/"
"MIT Math Prize for Girls (Final Announcement)","Econ","In-Person","USA","National","October 2026","While the main competition is in the fall, the selection of invited participants occurs based on spring AMC scores. it is prestigious as the largest math prize for girls in the world, with a $50,000 top award. Invitations are highly sought after and are based on being among the top-scoring female mathematicians on the AMC 10 and 12 exams from the previous cycle.","Three-hour, 20-question individual examination at MIT.","Female-identifying high school students in the US and Canada.","1. Take the AMC 10 or 12 in the previous November/January cycle. 2. Achieve a top-tier score (top ~300 girls nationally). 3. Receive and accept the invitation to MIT.","math|MIT|women-in-STEM|scholarship|elite","https://mathprize.atfoundation.org/","https://mathprize.atfoundation.org/"
"D3M Young Scientist (Top 10 Finalists)","Econ","Online","USA","National","July 2026","The announcement of the Top 10 finalists for the 3M Young Scientist Challenge is a major milestone for middle school researchers. it is prestigious because each finalist is paired with a 3M mentor over the summer to turn their concept into a real-world prototype. Finalists become national STEM ambassadors and gain significant visibility through 3M and Discovery Education.","Selection of top 10 projects from the May video submission pool.","Middle school students who submitted a 3M Challenge video.","1. Submit a high-quality innovation video in May. 2. Pass the preliminary and semifinal rounds of judging. 3. Receive notification of finalist status in late June or July.","science|3M|mentorship|middle-school|finalist","https://www.youngscientistlab.com/","https://www.youngscientistlab.com/"
"GAMA Aviation Challenge (Fly-off Winner)","Econ","Online","USA","National","April 2026","The final fly-off of the GAMA Aviation Design Challenge determines the national winner based on aircraft performance in a simulator. it is prestigious as the winning team often receives an all-expenses-paid trip to a major aviation facility and mentorship from GAMA engineers. It is a unique achievement that bridges the gap between digital design and physical aeronautical constraints.","Competitive flight simulation fly-off based on student aircraft mods.","Participating US high school teams using the GAMA curriculum.","1. Complete the aircraft modification and design report in Feb/March. 2. Upload the final design files to the GAMA portal. 3. Await results from the virtual fly-off in April.","engineering|aviation|GAMA|simulation|results","https://gama.aero/","https://gama.aero/"
"Zero Robotics (International ISS Finals)","Econ","Hybrid","Global","International","February 21, 2026","The Zero Robotics International Finals is a one-of-a-kind event where code written by students is beamed to the International Space Station and executed on Astrobee robots. it is prestigious because it involves a live downlink from the ISS where astronauts oversee the tournament. Finalist teams from North America and Europe compete for the championship in a microgravity environment.","Live autonomous robot tournament on the ISS with astronaut commentary.","Finalist teams from the high school Zero Robotics season.","1. Qualify as a top team in the January/February simulation rounds. 2. Attend the final event virtually or at a regional host site (MIT/ESA). 3. Watch your code run live on the International Space Station.","robotics|NASA|ISS|coding|international","https://zerorobotics.mit.edu/","https://zerorobotics.mit.edu/"
"Botball Oklahoma Regional Tournament","Econ","In-Person","USA","Regional","March 28, 2026","The Oklahoma regional Botball tournament is a high-stakes robotics event where teams must demonstrate pure autonomous programming. it is prestigious for its 'Fair-Play' code of conduct and its emphasis on documenting the entire engineering lifecycle. The event provides students with hands-on experience in C programming and AI navigation.","Seeding Rounds -> Double Elimination Tournament -> Team Presentations.","Middle and High School students; Teams of 2-15.","1. Register your team and attend the winter Botball workshop. 2. Submit the technical documentation series online. 3. Compete in the live tournament in Norman, OK.","robotics|autonomous|Oklahoma|engineering|coding","https://www.kipr.org/","https://www.kipr.org/"
"Botball Greater DC Regional Tournament","Econ","In-Person","USA","Regional","April 11, 2026","The Greater DC Botball regional is held in a high-tech corridor, attracting top teams interested in government and defense engineering. it is prestigious for its rigorous autonomous standards and its role in selecting teams for the Global Conference on Educational Robotics (GCER). Students must master complex sensors and logic to succeed in the tournament's double-elimination format.","Autonomous coding tournament + Engineering documentation.","Middle and High School students in DC, VA, and MD.","1. Register for the DC/VA regional tournament via KIPR. 2. Complete the robot build and documentation phases. 3. Compete in person on April 11.","robotics|autonomous|DC|Virginia|coding","https://www.kipr.org/","https://www.kipr.org/"
"Botball New England Regional Tournament","Econ","In-Person","USA","Regional","May 2, 2026","The New England Botball regional in Massachusetts is a prestigious event due to its proximity to the world's leading robotics and AI companies. it is interesting for its high level of coding difficulty and the sophisticated usage of computer vision in student projects. Winning here is a definitive signal of high-level autonomous engineering proficiency.","Autonomous Match Play -> Documentation Review -> Awards.","Middle and High School students in MA, ME, NH, and VT.","1. Sign up for the New England region and attend workshops. 2. Submit all engineering documentation by the spring deadline. 3. Compete in the live tournament in May.","robotics|autonomous|NewEngland|Boston|coding","https://www.kipr.org/","https://www.kipr.org/"
"Shell Eco-marathon (Americas Championship)","Econ","In-Person","USA","National","April 11, 2026","The Shell Eco-marathon Americas Championship at the Indianapolis Motor Speedway is a premier event for high-efficiency vehicle design. it is prestigious because teams compete to travel the furthest on the least amount of fuel, with some cars achieving over 1,000 MPG. The event emphasizes sustainable energy solutions and professional automotive engineering.","Scrutineering (Safety Check) -> Mileage Challenge Laps -> Strategy Review.","Registered High School and College teams from North and South America.","1. Pass the design and logistics phases in early 2026. 2. Travel to Indianapolis for the April 7-11 event. 3. Pass on-site safety inspections and complete fuel-efficiency laps.","engineering|energy|Shell|Indianapolis|efficiency","https://www.shellecomarathon.com/","https://www.shellecomarathon.com/"
"SourceAmerica Design (National Finals)","Econ","Hybrid","USA","National","April 2026","The National Finals of the SourceAmerica Design Challenge bring together the best student engineers who have created assistive workplace technology. it is prestigious for its focus on social impact and the potential for student inventions to be adopted by real employers of people with disabilities. Finalists present their prototypes to an elite panel of engineering and accessibility experts.","Final Prototype Presentation -> Impact Analysis -> Awards.","Finalist teams selected from the February submission round.","1. Submit a high-impact technical report and video in February. 2. Receive an invitation to the national finals. 3. Present your assistive technology solution virtually or in person.","engineering|assistive-tech|social-impact|SourceAmerica|finalist","https://www.sourceamerica.org/","https://www.sourceamerica.org/"
"DNA Day Essay (Winner Announcement)","Econ","Online","Global","International","April 25, 2026","The announcement of the DNA Day Essay winners coincides with the anniversary of the discovery of the double helix. it is prestigious because the ASHG honors top essays that address the ethical and societal impacts of human genetics. Winners receive cash prizes and are featured on the ASHG website, reaching thousands of professional geneticists.","Digital publication of top essays and winner announcement.","Students who submitted an essay by the March 4 deadline.","1. Submit your genetics essay in early March. 2. Await the scoring and review by the ASHG judging panel. 3. Check for the winner announcement on National DNA Day.","genetics|biology|essay|ASHG|awards","https://www.ashg.org/dna-day/","https://www.ashg.org/dna-day/"
"ExploraVision (Regional Winners)","Econ","Online","USA","National","March 2026","The announcement of regional winners for Toshiba/NSTA ExploraVision is a major national honor. it is prestigious because winning at the regional level places a team in the top tier of the world's largest K-12 science competition. Regional winners receive an expense-paid trip to Washington D.C. for the national awards gala if they advance to the national round.","Selection of 24 regional winning teams across all grade categories.","Students who submitted an ExploraVision project in February.","1. Submit your project report and mock website by Feb 3. 2. Await the regional judging results in March. 3. If selected, prepare for the national final round.","science|technology|NSTA|Toshiba|regional-winner","https://www.exploravision.org/","https://www.exploravision.org/"
"ExploraVision (National Awards D.C.)","Econ","In-Person","USA","National","June 2026","The ExploraVision National Awards Gala in Washington D.C. celebrates the top student innovators in the country. it is prestigious for its high-level networking with government officials and Toshiba executives. National winners receive $10,000 US savings bonds and the chance to present their futuristic vision to a national audience.","National Awards Ceremony -> Project Presentations -> Science Expo.","First and Second place national winning teams.","1. Be named a national finalist following the regional round. 2. Compete in the final national judging phase. 3. Attend the awards gala in Washington D.C.","science|technology|D.C.|Toshiba|national-awards","https://www.exploravision.org/","https://www.exploravision.org/"
"MathCounts (National Top 4 State Team)","Econ","In-Person","USA","National","May 2026","Being named to the 'State Team' of four students is the highest honor in the middle school math community. it is prestigious because these students receive an all-expenses-paid trip to represent their state on the national stage in Orlando. The team often trains together with a state-appointed coach, building a community of elite young mathematicians.","State-level written exam and buzzer results.","Top 4 individuals from each state's MathCounts tournament.","1. Place in the top 4 individuals at your state's MathCounts tournament. 2. Finalize national registration and state team coordination. 3. Travel to Florida for the national finals.","math|middle-school|MathCounts|state-team|elite","https://www.mathcounts.org/","https://www.mathcounts.org/"
"Science Olympiad Regional (Los Angeles)","Econ","In-Person","USA","Regional","February 2026","The Los Angeles Science Olympiad regional is a high-prestige event featuring many of the country's most decorated STEM programs. it is interesting for its high concentration of engineering and aerospace events, often drawing judges from JPL and SpaceX. Success here is a definitive signal of elite competitive science ability.","One-day circuit of 23 STEM events (Division B and C).","Middle and High School teams in the Los Angeles metro area.","1. Register through the SoCal Science Olympiad regional portal. 2. Manage a team of 15 students for the competition day. 3. Place in the top tier to advance to the state finals.","science|SciOly|LosAngeles|team|aerospace","https://www.socalscioly.org/","https://www.socalscioly.org/"
"Science Olympiad Regional (Austin)","Econ","In-Person","USA","Regional","February 21, 2026","The Austin regional is a prestigious qualifier in the Texas Science Olympiad circuit, held at a major area university. it is interesting for its high competition level, as it draws teams from the state's tech-focused magnet schools. Winners earn a trip to the state finals at Texas A&M.","23 competitive events covering all national ruleset categories.","Middle and High School teams in the Central Texas regional district.","1. Register your team via the Texas Science Olympiad website. 2. Train students for the 23-event schedule. 3. Compete in person on February 21.","science|SciOly|Austin|team|Texas","https://outreach.science.tamu.edu/","https://outreach.science.tamu.edu/"
"Science Olympiad Regional (Virginia - Northern)","Econ","In-Person","USA","Regional","February 2026","The Northern Virginia regional is one of the most competitive in the nation, featuring teams from the highly ranked Fairfax and Loudoun county schools. it is prestigious for its rigor and its role as a primary filter for the Virginia State finals. The tournament emphasizes both technical build precision and deep theoretical study.","Circuit of 23 science, engineering, and lab events.","Middle and High School teams in Northern Virginia.","1. Complete school registration via the Virginia Science Olympiad site. 2. Assign events and prepare documentation/builds. 3. Compete at a regional host site in February.","science|SciOly|Fairfax|Virginia|team","https://www.virginiaso.org/","https://www.virginiaso.org/"
