"title","track","mode","region","level","deadline","description","format","eligibility","howToApply","tags","applyUrl","officialUrl"
"HackBI IX","Coding","In-Person","Alexandria, VA","All","2026-01-17","Bishop Ireton HS. Large regional event.","24-Hour Hack","HS Students","Register online","Student-Run|Hack","https://hackbi.org","https://hackbi.org"
"SWIMMER OSINT CTF","Coding","Online","Global","Int","2026-01-17","Open Source Intelligence focus.","CTF","Open","Register Team","OSINT, Research|Security","https://ctftime.org","https://ctftime.org"
"Stang Hacks","Coding","In-Person","Danville, CA","All","2026-01-24","Tri-Valley area. Focus on AI tools.","24-Hour Hack","HS Students","Register online","AI, Web|Hack","https://stanghacks.com","https://stanghacks.com"
"Perse Coding Challenge R1","Coding","Online","Global","Int","2026-01-26","Round 1 window opens. Teams of 2.","40-Min Exam","Grade 7-11","Teacher Reg","Python, C++|Algo","https://pctc.perse.co.uk","https://pctc.perse.co.uk"
"Wharton Data Sci Deadline","Coding","Online","Global","All","2026-01-28","Registration Deadline. ""Soccer"" theme.","Project","HS Teams (3-5)","Team Reg","Data, Sports|Data","https://globalyouth.wharton.upenn.edu","https://globalyouth.wharton.upenn.edu"
"USACO February Contest","Coding","Online","USA/Global","Adv","2026-01-30","Second major contest.","4-Hour Exam","Open","Log in to start","Algo, Logic|Algo","https://usaco.org","https://usaco.org"
"ElleHacks","Coding","In-Person","Toronto, ON","All","2026-01-30","Women & Non-binary focus.","36-Hour Hack","Women/NB","Application","Inclusive, Tech|Hack","https://ellehacks.com","https://ellehacks.com"
"CyberWave","Coding","In-Person","Atlanta, GA","All","2026-01-31","Regional Georgia hackathon.","24-Hour Hack","HS Students","Register online","Makers, Code|Hack","https://cyberwave.dev","https://cyberwave.dev"
"PascalCTF Beginners","Coding","Online","Global","Beg","2026-01-31","Beginner focused CTF.","CTF","Open","Team Reg","Intro, Web|Security","https://ctftime.org","https://ctftime.org"
"PicoCTF Registration","Coding","Online","Global","Beg/Int","2026-02-01","Registration opens for 2026 competition.","CTF","HS Students","Teacher/Student","Top Tier|Security","https://picoctf.org","https://picoctf.org"
"LA CTF","Coding","Hybrid","Los Angeles","Int/Adv","2026-02-06","UCLA hosted. ""Mini"" division for HS.","CTF","Open/HS Div","Team Reg","Web, Crypto|Security","https://lac.tf","https://lac.tf"
"Swift Student Challenge","Coding","Online","Global","All","2026-02-06","Applications OPEN. Apple's main event.","App Project","Student","Apple ID","iOS, Swift|App","https://developer.apple.com","https://developer.apple.com"
"Arlington HS Contest","Coding","In-Person","Arlington, VA","All","2026-02-07","Student-led at Career Center.","3-Hour Contest","Local HS","Google Form","Java, Python|Algo","https://aps-hspc.pages.dev","https://aps-hspc.pages.dev"
"Hack4Hope","Coding","In-Person","Los Angeles","All","2026-02-07","Social impact focus.","24-Hour Hack","HS Students","Register online","Social Good|Hack","https://hack4hope.com","https://hack4hope.com"
"Cornell HS Programming","Coding","In-Person","Ithaca, NY","Adv","2026-02-08","Hosted by Cornell CS Dept.","3-Hour Contest","Teams of 3","Teacher Reg","University|Algo","https://cs.cornell.edu","https://cs.cornell.edu"
"Bebras Australia","Coding","Online","Australia","All","2026-02-09","Computational Thinking Challenge.","45-Min Exam","AUS Students","School Reg","Logic|Logic","https://amt.edu.au","https://amt.edu.au"
"Girls Who Code Challenge","Coding","Online","USA","All","2026-02-11","Submission Deadline. ""AI + Cybersecurity"".","Project","US Residents","Submit Online","AI, Cyber|App","https://girlswhocode.com","https://girlswhocode.com"
"CCC (Canada)","Coding","School","Canada/Global","Int/Adv","2026-02-18","Canadian Computing Competition.","3-Hour Exam","Schools","Teacher Order","C++, Python|Algo","https://cemc.uwaterloo.ca","https://cemc.uwaterloo.ca"
"USACO Third Contest","Coding","Online","USA/Global","Adv","2026-02-20","Last chance to qualify for US Open.","4-Hour Exam","Open","Log in","Algo|Algo","https://usaco.org","https://usaco.org"
"HPE CodeWars (Reg End)","Coding","Hybrid","Global","All","TBA","Registration typically closes late Feb.","Contest","HS Students","Teacher Reg","Corporate|Algo","https://hpecodewars.org","https://hpecodewars.org"
"Saint Joe's Analytics R1","Coding","Online","USA (PA)","Int","2026-02-25","Round 1 (Virtual) of SJU competition.","Data Viz","HS Teams","Reg by Dec 19","Data Sci|Data","https://sju.edu","https://sju.edu"
"Montgomery College PC","Coding","In-Person","Germantown, MD","Int","2026-02-27","16th Annual contest. Java/Python.","90-Min Exam","DMV Area","Teacher Reg","Local|Algo","https://montgomerycollege.edu","https://montgomerycollege.edu"
"HackIllinois","Coding","In-Person","Urbana, IL","Adv","2026-02-27","UIUC hosted. HS tracks available.","36-Hour Hack","Student","Application","Open Source|Hack","https://hackillinois.org","https://hackillinois.org"
"UMD HS Contest","Coding","In-Person","College Park","Adv","2026-02-28","U. Maryland main contest.","3-Hour Contest","Teams of 3","Teacher Reg","University|Algo","https://cs.umd.edu","https://cs.umd.edu"
"Taylor Univ. CodeCon","Coding","In-Person","Upland, IN","All","2026-02-28","Beginner and Advanced divisions.","3-Hour Contest","HS Students","Online Form","Regional|Algo","https://codecon.cse.taylor.edu","https://codecon.cse.taylor.edu"
"Swift Challenge Due","Coding","Online","Global","All","2026-02-28","Submission deadline for Apple contest.","Project","Student","Upload","iOS|App","https://developer.apple.com","https://developer.apple.com"
"PicoCTF Competition","Coding","Online","Global","All","2026-03-07","The main event. 10 days.","CTF","Teams of 1-5","Online","Cyber, Crypto|Security","https://picoctf.org","https://picoctf.org"
"HPE CodeWars Houston","Coding","In-Person","Houston, TX","All","2026-03-07","Flagship HP event.","3-Hour Contest","HS Teams","Teacher Reg","Corporate|Algo","https://hpecodewars.org","https://hpecodewars.org"
"HPE CodeWars Roseville","Coding","In-Person","Roseville, CA","All","2026-03-07","California HP campus.","3-Hour Contest","HS Teams","Teacher Reg","Corporate|Algo","https://hpecodewars.org","https://hpecodewars.org"
"HPE CodeWars Virtual","Coding","Online","Global","All","2026-03-07","For those not near a hub.","3-Hour Contest","HS Teams","Teacher Reg","Corporate|Algo","https://hpecodewars.org","https://hpecodewars.org"
"HPE CodeWars Ft Collins","Coding","In-Person","Ft Collins, CO","All","2026-03-07","Colorado HP campus.","3-Hour Contest","HS Teams","Teacher Reg","Corporate|Algo","https://hpecodewars.org","https://hpecodewars.org"
"HPE CodeWars NJ","Coding","In-Person","Jersey City, NJ","All","2026-03-07","New Jersey HP campus.","3-Hour Contest","HS Teams","Teacher Reg","Corporate|Algo","https://hpecodewars.org","https://hpecodewars.org"
"TreeLine Hacks","Coding","Online","Global","Beg","2026-03-06","Virtual hackathon.","36-Hour Hack","HS Students","Devpost","Social Good|Hack","https://allhackathons.com","https://allhackathons.com"
"HackFiesta Miami","Coding","Online","Global","Beg","2026-03-09","Design and low-code friendly.","Week-Long","HS/College","Devpost","Design, Web|Hack","https://allhackathons.com","https://allhackathons.com"
"Saint Joe's Finals","Coding","In-Person","Phila, PA","Int","2026-03-11","Final round of Analytics comp.","Presentation","Finalists","Qualify","Data Viz|Data","https://sju.edu","https://sju.edu"
"SBU Contest","Coding","In-Person","Bolivar, MO","All","2026-03-13","Southwest Baptist Univ.","Contest","HS Teams","Teacher Reg","Java, C++|Algo","https://sbuniv.edu","https://sbuniv.edu"
"SmathHacks","Coding","Hybrid","Durham, NC","All","2026-03-14","NC School of Science & Math.","24-Hour Hack","HS Students","Register","STEM|Hack","https://smathhacks.ncssm.edu","https://smathhacks.ncssm.edu"
"UT Dallas Battle","Coding","In-Person","Dallas, TX","Int","2026-03-21","""Battle of the Brains"". Major TX event.","3-Hour Contest","HS Teams","Teacher Reg","University|Algo","https://calendar.utdallas.edu","https://calendar.utdallas.edu"
"Swiss Olympiad Finals","Coding","In-Person","Switzerland","Adv","2026-03-21","SOI Finals.","2-Day Exam","Qualifiers","Invite","IOI Qual|Algo","https://soi.ch","https://soi.ch"
"ICPC RSU HS Contest","Coding","In-Person","Claremore, OK","All","2026-03-27","Rogers State Univ. ICPC style.","3-Hour Contest","Teams of 3","Teacher Reg","ICPC Style|Algo","https://icpc.tjs.rsu.edu","https://icpc.tjs.rsu.edu"
"USACO US Open","Coding","Online","USA/Global","Adv","2026-03-28","The National Championship.","5-Hour Exam","Open","Log in","Championship|Algo","https://usaco.org","https://usaco.org"
"Lockheed CYBERQUEST","Coding","Hybrid","Global","Adv","2026-03-28","Major industry CTF.","3-Hour CTF","HS Teams","Reg Jan 5","Defense|Security","https://lockheedmartin.com","https://lockheedmartin.com"
"Botball Oklahoma","Coding","In-Person","OKC, OK","Int","2026-03-28","Regional tournament.","Autonomous","Teams","Teacher Reg","Robotics|Robotics","https://kipr.org","https://kipr.org"
"RoboRAVE Greece","Coding","In-Person","Thessaloniki","All","2026-03-28","Europe Open.","Challenges","Teams","Register","International|Robotics","https://roborave.gr","https://roborave.gr"
"FIRST Tech Challenge","Coding","In-Person","Houston, TX","Adv","TBA","World Championship (approx date).","Robot Game","Qualifiers","Advancement","Engineering|Robotics","https://firstinspires.org","https://firstinspires.org"
"CyberPatriot Reg","Coding","Online","USA","All","2026-04-01","Registration opens for Season 18.","Training","Teams","Coach Reg","Defense|Security","https://uscyberpatriot.org","https://uscyberpatriot.org"
"StormHacks","Coding","In-Person","Burnaby, BC","All","2026-10-04","(Planning) SFU.","24-Hour Hack","HS/College","Application","Western Canada|Hack","https://stormhacks.com","https://stormhacks.com"
"DiamondHacks","Coding","In-Person","San Diego, CA","All","2026-04-04","UCSD. Focused on impact.","24-Hour Hack","HS/College","Application","University|Hack","https://news.mlh.io","https://news.mlh.io"
"Botball DC","Coding","In-Person","Great Mills, MD","Int","2026-04-11","Greater DC Regional.","Autonomous","Teams","Teacher Reg","Robotics|Robotics","https://kipr.org","https://kipr.org"
"Botball Idaho","Coding","In-Person","Eagle, ID","Int","2026-04-11","Idaho Regional.","Autonomous","Teams","Teacher Reg","Robotics|Robotics","https://kipr.org","https://kipr.org"
"UVA HS Contest","Coding","In-Person","Charlottesville","Adv","2026-04-11","Univ. of Virginia. Large regional.","Contest","Teams of 3","Teacher Reg","University|Algo","https://acm.cs.virginia.edu","https://acm.cs.virginia.edu"
"George Fox Contest","Coding","Hybrid","Newberg, OR","All","2026-04-11","Division I, II, III.","Contest","HS Teams","Excel Form","Java, Python|Algo","https://cs.georgefox.edu","https://cs.georgefox.edu"
"Triton Days (UCSD)","Coding","In-Person","San Diego, CA","All","2026-04-11","Open house, often includes engineering demos.","Fair","Admit/Prosp","Register","College Prep|Info","https://blink.ucsd.edu","https://blink.ucsd.edu"
"Code/Art Pitch","Coding","In-Person","Miami, FL","All","2026-04-11","""Future Tech LeadHERs"".","Pitch","Girls/NB","Submit App","Art, Code|App","https://code-art.com","https://code-art.com"
"Botball Austria","Coding","In-Person","St. Pölten","Int","2026-04-13","ECER Tournament.","Autonomous","Teams","Teacher Reg","International|Robotics","https://kipr.org","https://kipr.org"
"Baltic Olympiad (BOI)","Coding","In-Person","Finland","Adv","2026-04-15","Regional IOI qualifier.","2-Day Exam","National Team","Qualification","Olympiad|Algo","https://boi2026.fi","https://boi2026.fi"
"Botball Texas","Coding","In-Person","Houston, TX","Int","2026-04-18","Texas Regional.","Autonomous","Teams","Teacher Reg","Robotics|Robotics","https://kipr.org","https://kipr.org"
"Technovation Deadline","Coding","Online","Global","All","2026-04-20","Submission deadline for girls.","App/Plan","Girls Teams","Submit Online","Social Entrep.|App","https://technovationchallenge.org","https://technovationchallenge.org"
"VEX Worlds (HS)","Coding","In-Person","Dallas, TX","Adv","2026-04-25","High School Division.","Robot Game","Qualifiers","Advancement","Engineering|Robotics","https://recf.org","https://recf.org"
"Botball New Mexico","Coding","In-Person","Albuquerque","Int","2026-04-25","NM Regional.","Autonomous","Teams","Teacher Reg","Robotics|Robotics","https://kipr.org","https://kipr.org"
"Botball New England","Coding","In-Person","Lawrence, MA","Int","2026-05-02","NE Regional.","Autonomous","Teams","Teacher Reg","Robotics|Robotics","https://kipr.org","https://kipr.org"
"Botball San Diego","Coding","In-Person","San Diego, CA","Int","2026-05-02","SoCal Regional.","Autonomous","Teams","Teacher Reg","Robotics|Robotics","https://kipr.org","https://kipr.org"
"Botball NorCal","Coding","In-Person","Milpitas, CA","Int","2026-05-09","Bay Area Regional.","Autonomous","Teams","Teacher Reg","Robotics|Robotics","https://kipr.org","https://kipr.org"
"MasseyHacks XII","Coding","In-Person","Windsor, ON","All","2026-05-09","Major Canadian HS hackathon.","24-Hour Hack","HS Students","Application","Canada|Hack","https://masseyhacks.ca","https://masseyhacks.ca"
"EGOI 2026","Coding","In-Person","Italy","Adv","2026-05-12","European Girls' Olympiad.","2-Day Exam","National Team","Qualification","Women in Tech|Algo","https://stats.egoi.org","https://stats.egoi.org"
"Robofest Worlds","Coding","In-Person","Southfield, MI","All","2026-05-14","World Championship.","Autonomous","Qualifiers","Advancement","Vision, AI|Robotics","https://robofest.net","https://robofest.net"
"Coolest Projects UK","Coding","In-Person","Bradford, UK","All","2026-05-16","UK Showcase event.","Showcase","Age <18","Register","Creative|Make","https://coolestprojects.org","https://coolestprojects.org"
"National STEM Fest","Coding","In-Person","Wash DC","Adv","TBA","Finals for top projects.","Showcase","Qualifiers","Advancement","Research|STEM","https://nationalstemfestival.com","https://nationalstemfestival.com"
"Austrian Olympiad","Coding","In-Person","Vienna","Adv","2026-06-01","Finals / CS Day.","Exam","Qualifiers","Qualification","National|Algo","https://ocg.at","https://ocg.at"
"MATE ROV Worlds","Coding","In-Person","Canada","Adv","2026-06-25","Underwater Robotics Championship.","ROV Missions","Qualifiers","Advancement","Marine Eng|Robotics","https://materovcompetition.org","https://materovcompetition.org"
"DownUnderCTF","Coding","Online","Global","Int","2026-07-18","Major Australian CTF (prep in June).","CTF","Open","Register","Cyber|Security","https://downunderctf.com","https://downunderctf.com"
"IOI 2026","Coding","In-Person","Uzbekistan","Adv","2026-08-09","World Championship.","2-Day Exam","National Team","Qualification","The Summit|Algo","https://ioi2026.uz","https://ioi2026.uz"
"HackTheNorth","Coding","In-Person","Waterloo, ON","All","2026-09-12","Prep in Spring/Summer.","36-Hour Hack","Students","Application","Massive|Hack","https://hackthenorth.com","https://hackthenorth.com"
"PennApps","Coding","In-Person","Phila, PA","All","TBA","Prep in Spring/Summer.","36-Hour Hack","Students","Application","Ivy League|Hack","https://pennapps.com","https://pennapps.com"
"Congressional App","Coding","Online","USA","All","2026-05-01","Challenge Opens.","App Dev","USA Students","District Rep","Civic Tech|App","https://congressionalappchallenge.us","https://congressionalappchallenge.us"
"Zero Robotics","Coding","Online","Global","Int","TBA","Code satellites on ISS.","Simulation","Teams","Application","Space, SPHERES|Code","https://zerorobotics.mit.edu","https://zerorobotics.mit.edu"
"Imagine Cup Junior","Coding","Online","Global","All","2026-01-09","Submission deadline.","AI Concept","Age 13-18","Submit Project","Microsoft, AI|AI","https://imaginecup.microsoft.com","https://imaginecup.microsoft.com"
"CodeQuest (Lockheed)","Coding","In-Person","Global","Int","2026-01-05","Registration opens.","Contest","HS Teams","Teacher Reg","Corporate|Algo","https://lockheedmartin.com","https://lockheedmartin.com"
"ISEC Data Challenge","Coding","Online","Global","Adv","TBA","Fault detection in code.","Prediction","Open","Kaggle","ML, Code|Data","https://kaggle.com","https://kaggle.com"
"RevisionDojo Research","Coding","Online","Global","Int","TBA","Predict student answers (ML).","Classification","Open","Kaggle","EdTech, ML|Data","https://kaggle.com","https://kaggle.com"
"Big Data Bowl","Coding","Online","Global","Adv","TBA","NFL player tracking data.","Analysis","Open","Kaggle","Sports, ML|Data","https://kaggle.com","https://kaggle.com"
"Technocup Round 2","Coding","Online","Global","Adv","2026-02-08","Sport Coding (Russian/Global).","Contest","Open","Register","Codeforces|Algo","https://cups.online","https://cups.online"
"Innopolis Open R2","Coding","Online","Global","Adv","2026-01-15","Innopolis University Contest.","Contest","HS Students","Register","Russia/Global|Algo","https://cups.online","https://cups.online"
"Innopolis Finals","Coding","Online","Global","Adv","2026-03-13","Final round.","Contest","Qualifiers","Invite","High Level|Algo","https://cups.online","https://cups.online"
"Open Olympiad Quals","Coding","Online","Global","Adv","2026-01-13","""XX Open Olympiad"". Long round.","Long Contest","Open","Register","High Difficulty|Algo","https://inf-open.ru","https://inf-open.ru"
"Open Olympiad Finals","Coding","Hybrid","Moscow","Adv","2026-03-04","Finals of Open Olympiad.","2-Day Exam","Qualifiers","Invite","High Difficulty|Algo","https://inf-open.ru","https://inf-open.ru"
"Infosec Hackathon","Coding","Online","Global","All","TBA","University hackathon.","CTF/Hack","Students","Register","Cyber|Security","https://ctftime.org","https://ctftime.org"
"WUST CTF","Coding","In-Person","St. Louis, MO","Int","2026-04-06","WashU St. Louis CTF.","CTF","Local HS","Team Reg","University|Security","https://soclab.wust.edu","https://soclab.wust.edu"
"UMassCTF","Coding","Online","Global","Int","2026-04-10","UMass Amherst CTF.","CTF","Open","Register","University|Security","https://techlearningcollective.com","https://techlearningcollective.com"
"Midnight Sun CTF","Coding","Online","Global","Adv","2026-04-11","Qualifiers for Finals.","CTF","Open","Register","Sweden/Global|Security","https://ctftime.org","https://ctftime.org"
"BlueHens CTF","Coding","Online","Global","Int","2026-04-17","U. Delaware CTF.","CTF","Open","Register","University|Security","https://ctftime.org","https://ctftime.org"
"Viper Nova CTF","Coding","Online","Global","Int","2026-05-08","Romania hosted.","CTF","Open","Register","European|Security","https://ctftime.org","https://ctftime.org"
"SSMCTF Qualifiers","Coding","Online","Global","Int","2026-06-07","High School specific CTF.","CTF","HS Students","Register","Student-Run|Security","https://techlearningcollective.com","https://techlearningcollective.com"
"Build4Students","Coding","Online","Global","All","TBA","Month long hackathon.","Hack","Students","Devpost","Virtual|Hack","https://hackathons.hackclub.com","https://hackathons.hackclub.com"
"Alameda Hacks","Coding","Online","Global","Beg","2026-01-01","Beginner focus.","Virtual","HS Students","Devpost","Intro|Hack","https://hackathons.hackclub.com","https://hackathons.hackclub.com"
"Winter MelonJam","Coding","Online","Global","All","2025-12-26","Game Jam (ends Jan).","Game Jam","Open","Itch.io","Game Dev|Game","https://hackathons.hackclub.com","https://hackathons.hackclub.com"
"Global Hack Week","Coding","Online","Global","All","2026-01-09","MLH ""Beginners"" week.","Workshops","Open","MLH Reg","Learning|Skill","https://mlh.io","https://mlh.io"
"SheHacks+ 10","Coding","In-Person","London, ON","All","2026-01-09","Western University.","36-Hour Hack","Women/NB","Application","Canada|Hack","https://mlh.io","https://mlh.io"
"DeltaHacks","Coding","In-Person","Hamilton, ON","All","2026-01-10","McMaster University.","24-Hour Hack","Students","Application","Canada|Hack","https://deltahacks.com","https://deltahacks.com"
"SB Hacks XII","Coding","In-Person","Santa Barbara","All","2026-01-10","UCSB.","36-Hour Hack","Students","Application","Beach|Hack","https://mlh.io","https://mlh.io"
"nwHacks","Coding","In-Person","Vancouver, BC","Adv","2026-01-17","Western Canada's largest.","24-Hour Hack","Students","Application","High Prestige|Hack","https://mlh.io","https://mlh.io"
"Hoya Hacks","Coding","In-Person","Washington DC","All","2026-01-23","Georgetown University.","36-Hour Hack","Students","Application","Policy/Tech|Hack","https://mlh.io","https://mlh.io"
"Rice Datathon","Coding","In-Person","Houston, TX","Adv","2026-01-23","Rice University. Data focus.","Data Hack","Students","Application","Data Sci|Data","https://mlh.io","https://mlh.io"
"SwampHacks","Coding","In-Person","Gainesville, FL","All","2026-01-23","U. Florida.","36-Hour Hack","Students","Application","Gator|Hack","https://mlh.io","https://mlh.io"
"ConUHacks X","Coding","In-Person","Montreal, QC","All","2026-01-24","Concordia University.","24-Hour Hack","Students","Application","Canada|Hack","https://mlh.io","https://mlh.io"
"Hard Hack","Coding","In-Person","La Jolla, CA","All","2026-01-24","UCSD. Hardware focus.","Hardware","Students","Application","Electronics|Hardware","https://mlh.io","https://mlh.io"
"TAMUhack","Coding","In-Person","College Stn, TX","Adv","2026-01-24","Texas A&M.","24-Hour Hack","Students","Application","Major Event|Hack","https://mlh.io","https://mlh.io"
"Hack@Brown","Coding","In-Person","Providence, RI","Adv","2026-01-31","Brown University.","Hackathon","Students","Application","Ivy League|Hack","https://mlh.io","https://mlh.io"
"HackViolet","Coding","In-Person","Blacksburg, VA","All","2026-01-31","Virginia Tech. Women/NB focus.","Hackathon","Women/NB","Application","Inclusive|Hack","https://mlh.io","https://mlh.io"
"PolyHACKS 2026","Coding","Online","Montreal, QC","All","2026-01-31","Polytechnique Montreal.","Digital Only","Students","Register","French/Eng|Hack","https://mlh.io","https://mlh.io"
"UTRA Hacks","Coding","In-Person","Toronto, ON","All","2026-01-31","U of Toronto Robotics.","Robotics Hack","Students","Application","Robotics|Hack","https://mlh.io","https://mlh.io"
"Mac-a-Thon","Coding","In-Person","Hamilton, ON","All","2026-02-06","McMaster.","Hackathon","Students","Application","Canada|Hack","https://mlh.io","https://mlh.io"
"QHacks","Coding","In-Person","Kingston, ON","All","2026-02-06","Queen's University.","Hackathon","Students","Application","Canada|Hack","https://mlh.io","https://mlh.io"
"UGAHacks 11","Coding","In-Person","Athens, GA","All","2026-02-06","U. Georgia.","Hackathon","Students","Application","South US|Hack","https://mlh.io","https://mlh.io"
"DevFest","Coding","In-Person","New York, NY","All","2026-02-07","Columbia University.","Hackathon","Students","Application","Ivy League|Hack","https://mlh.io","https://mlh.io"
"InnovateHer","Coding","In-Person","W. Lafayette","All","2026-02-07","Purdue. Women/NB focus.","Hackathon","Women/NB","Application","Inclusive|Hack","https://mlh.io","https://mlh.io"
"QWER Hacks","Coding","In-Person","Los Angeles","All","2026-02-07","UCLA. LGBTQ+ focus.","Hackathon","Inclusive","Application","Inclusive|Hack","https://mlh.io","https://mlh.io"
"CTRL+HACK+DEL","Coding","In-Person","Markham, ON","All","2026-02-13","MLH event.","Hackathon","Students","Application","Canada|Hack","https://mlh.io","https://mlh.io"
"SFHacks 2026","Coding","In-Person","San Francisco","All","2026-02-13","San Francisco State Univ.","Hackathon","Students","Application","Bay Area|Hack","https://mlh.io","https://mlh.io"
"Hacklytics","Coding","In-Person","Atlanta, GA","Adv","2026-02-20","Georgia Tech. Data focus.","Data Hack","Students","Application","Data Sci|Data","https://mlh.io","https://mlh.io"
"CrimsonCode","Coding","In-Person","Pullman, WA","All","2026-02-21","Washington State Univ.","Hackathon","Students","Application","PNW|Hack","https://mlh.io","https://mlh.io"
"HackHERS","Coding","In-Person","New Brunswick","All","2026-02-21","Rutgers. Women focus.","Hackathon","Women/NB","Application","Inclusive|Hack","https://mlh.io","https://mlh.io"
"Hack@URI","Coding","In-Person","Kingston, RI","All","2026-02-21","U. Rhode Island.","Hackathon","Students","Application","New England|Hack","https://mlh.io","https://mlh.io"
"Pearl Hacks","Coding","In-Person","Chapel Hill","All","2026-02-21","UNC. Women/NB focus.","Hackathon","Women/NB","Application","Inclusive|Hack","https://mlh.io","https://mlh.io"
"CUhackit","Coding","In-Person","Clemson, SC","All","2026-02-27","Clemson University.","Hackathon","Students","Application","South US|Hack","https://mlh.io","https://mlh.io"
"HenHacks","Coding","In-Person","Newark, DE","All","2026-02-28","U. Delaware.","Hackathon","Students","Application","Mid-Atlantic|Hack","https://mlh.io","https://mlh.io"
"WiCHacks","Coding","In-Person","Rochester, NY","All","2026-02-28","RIT. Women/NB focus.","Hackathon","Women/NB","Application","Inclusive|Hack","https://mlh.io","https://mlh.io"
"cmd-f 2026","Coding","In-Person","Vancouver, BC","All","2026-03-07","UBC. Women/NB focus.","Hackathon","Women/NB","Application","Canada|Hack","https://mlh.io","https://mlh.io"
"Rockethacks","Coding","In-Person","Toledo, OH","All","2026-03-14","U. Toledo.","Hackathon","Students","Application","Midwest|Hack","https://mlh.io","https://mlh.io"
"Kent Hack Enough","Coding","In-Person","Kent, OH","All","2026-03-28","Kent State.","Hackathon","Students","Application","Midwest|Hack","https://mlh.io","https://mlh.io"
"RevolutionUC","Coding","In-Person","Cincinnati, OH","All","2026-03-28","U. Cincinnati.","Hackathon","Students","Application","Midwest|Hack","https://mlh.io","https://mlh.io"
"HackByte 4.0","Coding","In-Person","Jabalpur, MP","All","2026-04-03","IIITDM Jabalpur.","Hackathon","Students","Application","India|Hack","https://news.mlh.io","https://news.mlh.io"
"DiamondHacks","Coding","In-Person","San Diego, CA","All","2026-04-04","UCSD.","Hackathon","Students","Application","West Coast|Hack","https://news.mlh.io","https://news.mlh.io"
"Bitcamp","Coding","In-Person","College Park","Adv","2026-04-10","UMD. Major event.","36-Hour Hack","Students","Application","Major Event|Hack","https://news.mlh.io","https://news.mlh.io"
"HackAmerica","Coding","Online","Global","All","2026-04-11","Student-led HS hackathon.","Virtual","HS Students","Register","HS Focus|Hack","https://allhackathons.com","https://allhackathons.com"
"hackMHS XI","Coding","In-Person","Millburn, NJ","All","2026-05-29","Millburn HS. 11th year.","24-Hour Hack","HS Students","Register","HS Focus|Hack","https://allhackathons.com","https://allhackathons.com"
"Shower Hacks","Coding","In-Person","San Francisco","All","2026-10-03","""Winner takes a shower"". Fun.","Hackathon","Open","Register","Fun|Hack","https://allhackathons.com","https://allhackathons.com"
"305 Hack Spring","Coding","Online","Global","All","2026-03-20","Miami based.","Virtual","Students","Devpost","Spring Break|Hack","https://allhackathons.com","https://allhackathons.com"
"WAV Hackathon","Coding","In-Person","Norfolk, VA","All","2026-03-09","Urban League.","Hackathon","Students","Register","Civic Tech|Hack","https://allhackathons.com","https://allhackathons.com"
"Aclimakathon","Coding","In-Person","Global","All","2026-03-06","Climate focus.","Hackathon","Students","Register","Climate|Hack","https://allhackathons.com","https://allhackathons.com"
"Global Hack Week Data","Coding","Online","Global","All","2026-02-13","MLH Data Science week.","Workshops","Open","MLH Reg","Learning|Skill","https://mlh.io","https://mlh.io"
